gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
LOC100507472,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100507489,0.147535625,0.229819725,0.1,0.175857833,0.27141,0.1289874,0.1,0.1,0.58541325
LOC100507495,1.231505125,0.78233775,1.5482,1.101651583,0.908661,0.5395934,2.0,0.624482,0.81869825
LOC100507501,0.161547,0.097422075,0.1225495,0.268029333,0.1,0.1,0.1,0.1,0.0801888
LOC100507537,0.1,0.1,0.097351617,0.102416083,0.1,0.1,0.1,0.1,0.1
LOC100507547,0.1,0.1,0.1,0.10985475,0.1,0.1,0.1,0.1,0.1
LOC100507547,0.1,0.1,0.1,0.102636,0.1,0.1,0.1,0.1,0.1
LOC100507547,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100507547,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.109827,0.1
LOC100507547,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100507547,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100507547,0.1,0.0887308,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100507547,0.09020075,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.088208975
LOC100507557,0.31351125,0.1,0.1,0.924228083,0.1,0.5037692,0.1,0.2357665,1.589585
LOC100507564,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100507567,0.17401325,0.29078975,0.1,0.1324575,0.1,0.1913906,0.2,0.376566,0.12813
LOC100507577,1.4854375,2.341375,2.120103333,2.5511075,2.41514,1.297496,5.5,0.4709015,2.60753
LOC100507582,0.17805425,0.1,0.1,0.1816145,0.1,0.1,0.1,0.1630905,0.089590625
LOC100507584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.076112943
LOC100507588,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.161095
LOC100507589,0.0940583,0.23664375,0.1,0.529948833,0.1,0.3018038,0.1,0.1417525,0.1
LOC100507600,0.1,0.08599075,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100507605,0.1,0.0776294,0.1,0.1,0.127628,0.1,0.1,0.1,0.1
LOC100507629,0.1,0.1,0.1,0.1,0.163494,0.1,0.1,0.1,0.1
LOC100507632,0.084440475,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
LOC100507634,0.3585951,0.30919765,0.087797333,0.230880667,0.1,0.1889258,0.4,0.101397,0.15819025
LOC100507651,0.10538925,0.1,1.420527333,0.1,0.100694,0.1,0.1,0.1,0.178454525
LOC100508120,1.239339,1.2082065,0.458066667,1.08131,0.667894,0.445908,0.7,0.349973,0.5799335
LOC100509575,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100509894,0.21690475,1.5817465,0.298769583,0.605030167,0.914352,3.249366,0.6,0.231335,0.7047655
LOC100526771,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100527964,0.25097325,0.36450985,1.0714475,0.253777833,0.655005,0.2008562,0.3,0.207964,0.4439665
LOC100616530,0.1,1.06881,0.147773833,0.296178833,0.1,0.1130298,0.1,0.1,0.1
LOC100616668,0.166012,0.899172,0.5207895,0.368214167,0.494989,0.4965634,0.2,0.138332,0.24488575
LOC100628307,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100630918,0.24791525,0.64367475,0.164693667,0.66806675,0.76181,1.1659938,0.5,0.1518435,0.15522645
LOC100630923,1.31158,0.6731645,2.098263333,0.653303333,0.625169,0.3376508,0.6,0.3625975,0.97651425
LOC100631378,0.10270025,0.10632245,0.088784767,0.261726917,0.1,0.118062,0.2,0.1,0.12648185
LOC100652730,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100652739,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100652759,0.1,0.1,0.270403833,0.1,0.1,0.1166274,0.1,0.1,0.1
LOC100652768,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.093253825
LOC100652770,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11897475
LOC100652791,0.1,0.0956588,0.661838333,0.1,0.1,0.1,0.1,0.1,0.1
LOC100652846,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100652909,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC100652999,0.1,0.1,3.107118333,0.1,0.1,0.1,0.1,0.1,0.25559525
LOC100653515,0.0888606,0.259395175,1.072207667,0.102074667,0.120986,0.1479414,0.5,0.1,0.0995523
LOC100859930,1.32870075,2.0231025,1.112505167,3.369650833,2.59645,3.028836,6.2,1.73958,0.474172175
LOC100861402,0.1,0.1,1.416791667,0.1,0.1,0.1,0.1,0.1,0.1
LOC113230,0.103715175,0.1639685,0.090859483,0.297846667,0.211717,0.384234,0.1,0.266195,0.14642295
LOC115110,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC116437,0.329585,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0752247
LOC120824,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.085160375
LOC126536,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC127841,0.1,0.28079975,0.41894,0.107018167,0.213705,0.1178596,0.2,0.1,0.1
LOC139201,0.0769963,0.082800375,0.102710333,0.142371167,0.590065,0.104484,0.1,0.148081,0.426855
LOC143188,0.117926575,0.34347525,0.746532667,0.28874625,0.152676,0.126385,0.3,0.2412705,0.21622175
LOC143666,0.092945925,0.13434075,0.4766,0.223267,0.122814,0.2300256,0.1,0.1,0.122069
LOC144481,0.32835675,0.1,0.105843667,0.131463083,0.652409,0.1,0.2,0.1,0.2316735
LOC144486,0.126213775,0.18239775,0.09029875,0.160063417,0.1,0.2086684,0.1,0.1171225,0.0851883
LOC144571,0.7304125,0.87245,0.42252,1.006724917,0.1,0.1,0.1,0.1,1.0078125
LOC144742,0.1,0.1,0.1,0.107503917,0.1,0.1,0.1,0.1,0.1
LOC145216,0.10619675,0.15691175,0.1,0.126255083,0.1,0.1,0.1,0.1,0.106748
LOC145474,0.6588535,0.965823,3.969651667,0.418128833,0.703272,0.2133324,5.0,0.154752,0.96756825
LOC145663,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC145783,0.17800225,1.07757075,1.100419167,0.371260917,0.489035,0.6704092,0.7,0.1188355,0.221152
LOC145820,0.072322175,0.1,0.1,0.1,0.1,0.1,0.1,1.1301855,0.105188875
LOC145837,0.3977483,0.1161315,0.619011667,0.362122167,0.307543,0.2489308,0.1,0.2916005,0.40640125
LOC145845,0.082042875,0.107600875,0.6514055,0.1,0.1,0.1,0.1,0.1,0.06133595
LOC146336,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC146481,0.1,0.11276275,0.1,0.103453583,0.1,0.2762068,0.1,0.1,0.0633588
LOC146513,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC146880,1.62752,2.161835,2.662836667,2.055134167,5.9545,1.4354928,5.9,0.963162,3.0009975
LOC147093,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC147646,0.13727925,0.099460125,0.460687167,0.1,0.1,0.1,0.2,0.1,0.063679675
LOC147670,0.229714,0.1649871,0.127829333,0.23972325,8.34843,0.1328104,0.1,0.1931645,0.7407925
LOC147727,2.39252,4.0739725,0.1835585,2.686245833,2.29359,2.696588,1.1,1.518159,1.01049775
LOC147804,1.7508375,0.99073025,1.206438333,0.577554833,2.10164,1.4872556,1.3,0.353652,0.4568455
LOC148145,0.067155775,0.07730145,0.1,0.1,0.1,0.1278674,0.1,0.1,0.081077575
LOC148189,1.15098225,0.60883125,2.054217,0.511476417,0.872412,0.4033234,0.4,0.431454,0.17494525
LOC148413,0.50042625,0.83130175,0.962391667,0.232113833,0.1,0.3294162,0.1,0.164372,0.202868
LOC148696,0.05358695,0.41595225,0.234782,0.541051583,0.227957,0.234097,1.7,0.189476,0.228499175
LOC148709,0.090187725,0.172976,0.334007667,0.389913083,0.1,0.1,0.1,0.108279,0.065825675
LOC148824,0.1,0.1,0.1,0.100580333,0.1,0.1,0.1,0.1,0.1
LOC149086,0.09543275,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC149134,0.112761,0.09485535,0.092317867,0.1,0.1,0.1,0.1,0.1,0.1
LOC149373,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC149773,0.120183375,0.1,0.1,0.1035595,0.1,0.1,0.1,0.1,0.1
LOC149837,0.7595942,0.43116725,1.2102325,0.767100583,0.608452,0.6018306,0.4,0.2889405,0.19672275
LOC149950,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC150185,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC150197,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC150381,0.3296765,0.32794225,1.339144167,0.5137435,0.1,0.7082926,0.3,0.173467,0.217158
LOC150527,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC150527,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC150568,0.6558565,2.1913355,0.953405,0.585119583,3.20045,2.115384,0.1,0.300095,1.0620635
LOC150622,0.327237425,8.2317025,0.395301833,0.391538167,4.8078,8.678436,0.2,0.272716,1.5096575
LOC150776,1.2396675,1.18019475,2.825575,0.926198333,1.46895,0.9913242,0.8,0.442347,0.579128
LOC150935,0.12352375,0.097452925,0.1,0.1,0.1,0.1,0.1,0.1,0.1036235
LOC151009,0.082289825,0.10263725,0.1,0.1,0.419294,0.1,0.1,0.1026065,0.3689915
LOC151171,0.1015525,0.1,0.1,0.12260275,0.103676,0.1,0.1,0.1,0.322996025
LOC151174,0.0869255,0.131888,0.1,0.113500167,0.262487,0.181282,0.1,0.1,0.080580425
LOC151300,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC151475,0.1,0.133348975,0.1,0.1,0.1,0.1279178,0.3,0.1,0.08316985
LOC151484,0.102677325,0.1,0.51895,0.111286417,0.1,0.1,0.1,0.162228,0.111034975
LOC151534,0.2736735,0.1,0.1,0.1,0.1,0.1,0.1,0.349382,0.1
LOC151658,0.1,0.1,0.1,0.1,0.236101,0.1,0.1,0.1,0.1
LOC152024,0.07493485,0.0928861,0.1,0.101024333,0.1,0.1,0.1,0.1,0.07981555
LOC152217,3.4762975,1.9426,2.550033333,1.991710833,5.07495,1.1728628,1.3,0.9306105,1.63968525
LOC152225,0.085626025,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC152578,0.097152125,0.1,0.1,0.13895375,0.1,0.1,0.1,0.1,0.134999225
LOC152742,0.086995625,0.122819775,0.1,0.1041225,0.129378,0.112335,0.1,0.1,0.093123425
LOC153469,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC153684,0.605865,0.3194155,0.582508333,0.15116725,0.1,0.45645,0.8,0.3124415,0.137366725
LOC153910,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC154092,0.0825371,0.328308775,0.1,0.102210083,0.182217,0.6710866,0.2,0.1,0.102849975
LOC154449,0.1,0.0915393,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC154761,1.109282425,0.2360045,0.3620245,0.115490417,0.230666,0.1251196,0.1,0.213053,0.09760335
LOC154822,0.20372995,0.08396475,0.1,0.106223083,0.120147,0.1,0.1,0.1,0.0562958
LOC154860,0.10089365,0.22224075,0.137075,0.527394833,0.1,0.1,0.1,0.1,0.2793136
LOC154872,0.1,0.1,0.1,0.107454167,0.1,0.1,0.4,0.1,0.13622475
LOC155060,0.372738725,0.36464525,0.571538667,0.47767325,0.23308,0.229636,0.4,0.1179485,0.40744
LOC157273,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC157381,0.1,0.075283525,0.1,0.1,0.203543,0.1141776,0.1,0.1,0.0553759
LOC157627,0.290652125,0.1715879,1.508296167,0.124862917,12.6566,0.6660604,0.1,0.3637025,2.77631
LOC158257,1.8732875,1.59480125,2.422855,1.778873917,0.854822,1.2424524,2.9,0.13154,0.3464925
LOC158376,0.08023935,0.1264935,0.1,0.11303125,0.1,0.1,0.1,2.124345,0.31810825
LOC158434,0.1528941,0.33800685,0.1,0.24663925,0.28014,0.1057472,0.1,0.1,0.1766715
LOC158435,0.084437125,0.1025855,0.1,0.168731,0.1,0.1,0.1,0.1,0.0597693
LOC158572,0.57204825,0.33329025,0.414863333,0.350661583,0.110204,0.161039,0.1,0.1,0.065167925
LOC158696,0.1,0.1,0.1,0.1,1.18744,0.1,0.1,0.1,0.6201605
LOC170425,0.1,0.1,0.1,0.104953583,0.1,0.1,0.1,0.1,0.058742975
LOC1720,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC200261,0.1,0.085901125,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC200726,0.09285305,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.10550275
LOC200772,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC201477,0.1,0.1,0.790799167,0.1,0.660981,0.184383,0.1,0.1,0.41188275
LOC201617,0.0671116,0.908404,0.1,0.110850917,0.1,0.7063398,0.1,0.1,0.075955475
LOC201651,0.770630325,0.1,0.1,0.1,0.1,0.1,0.1,0.147939,0.1
LOC202181,1.23998475,1.7896695,4.27907,3.590448333,3.50167,0.9359488,1.0,1.96688,3.0352525
LOC202781,2.059179,1.9580475,2.04882,1.680990833,1.55719,1.2445356,0.6,0.4813335,1.01861125
LOC219347,0.2061775,0.70450325,0.939316,1.238923667,0.455031,0.2920072,0.2,0.1699595,0.2061445
LOC219731,0.10239,0.0686364,0.30921765,0.25278175,0.1,0.1,0.1,0.1,0.0616055
LOC220729,3.68501,2.70384,3.849541667,3.952628333,5.59353,2.0262034,2.2,1.182816,4.3844125
LOC220906,1.101019,0.8760795,0.921926667,0.750284167,1.98796,0.7142094,0.6,0.210698,1.6049375
LOC221122,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC221442,0.13871675,0.58005825,0.1,0.1,0.1,0.478268,0.1,0.1,0.28437275
LOC253039,1.448063,1.80969525,0.922299833,1.004805667,1.78329,0.9935574,1.1,0.686591,0.71453725
LOC253044,0.1,0.08703005,0.1,0.116829917,0.1,0.1017206,0.1,0.112559,0.0983512
LOC253573,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0796924
LOC253962,0.1,0.095136075,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC254099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC254100,0.128304675,0.41929525,1.404626333,0.22146325,0.1,0.1483114,0.1,0.175346,0.1
LOC254128,2.2084525,5.9190325,0.744808333,5.381115833,5.34841,23.46538,1.4,2.387925,1.5269525
LOC254312,0.1,0.100119,1.036593333,0.192977417,0.1,0.1,0.1,0.1,0.496743
LOC254559,0.37221075,0.768792,8.395173333,0.210405,0.859144,0.646459,0.1,0.1534575,0.609336
LOC254896,0.1,0.154099925,0.1,0.1027855,0.1,0.1,0.1,0.1,0.1
LOC255025,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC255130,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC255167,0.095649275,0.3339941,0.225536333,0.901472833,1.39359,0.1957932,0.1,0.1066435,0.204828025
LOC255411,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC255480,0.14780875,0.133728275,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC255512,0.247703975,0.761194,0.09371595,0.5980575,0.881092,0.6628398,0.2,0.1,0.3256495
LOC255654,0.1,0.1,0.0942114,0.1,0.1,0.1,0.1,0.1,0.1
LOC256021,0.1,0.1,1.846596667,0.1,0.1,0.1,0.1,0.1,0.1
LOC256880,0.260442525,0.12617175,0.087955733,0.370714167,0.387914,0.1722966,0.2,0.1,0.117135425
LOC257358,0.1,0.21704895,0.1,0.1,0.1,0.1087918,1.2,0.1,0.1
LOC257396,0.1712125,0.1705905,0.423259667,0.346624167,0.535208,0.13647,0.1,0.1162145,0.205557
LOC282980,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08017795
LOC282997,0.21631125,0.107026825,0.192427667,0.20991975,0.127137,0.175564,0.5,1.1217215,0.072945025
LOC283033,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283038,0.08921645,0.145096975,0.094501167,0.191631917,0.30422,0.180687,0.1,0.1,0.10287345
LOC283050,0.190285,0.4092591,0.104578667,0.138851583,0.1,0.1,0.2,0.104621,0.2314495
LOC283070,1.08215675,1.8377705,4.147113333,2.092616917,5.30442,0.7209998,2.8,1.42036,16.1283
LOC283089,0.1,1.01295375,0.1,0.522040833,0.1,0.1,0.1,0.1,0.574541
LOC283104,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283116,0.14566,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283143,0.18128125,0.1391788,0.0954411,0.578145917,0.225542,0.1280794,0.1,0.1,0.100660825
LOC283174,0.6290025,0.790564,0.553025167,0.106416583,0.537427,0.4697108,0.1,0.216446,1.21721375
LOC283177,0.096727425,0.13575,0.365615,0.169542417,0.634143,0.102752,0.1,0.124832,0.28801905
LOC283194,0.07981555,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0803335
LOC283214,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283299,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.080232375
LOC283332,0.08418345,0.100584,0.1,0.1,0.1,0.1,0.1,0.1,0.079594475
LOC283335,0.12769275,0.8948325,0.580396667,0.63490925,0.1,1.576162,0.2,0.1,0.12165415
LOC283392,0.1,0.30378725,0.20869,0.101833333,0.1,0.1713112,0.1,0.1,0.64602075
LOC283403,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283404,0.088627125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.102443
LOC283440,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283481,1.0783395,1.72092975,1.652360333,1.820588583,4.78904,3.770556,0.3,1.5121,1.1673055
LOC283547,0.169647025,1.09051825,0.1,0.1,0.1,0.662944,0.1,0.1,0.081340625
LOC283553,0.12431725,0.1,0.1,0.16744925,0.1,0.1,0.1,0.1,0.1
LOC283585,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283587,0.093466825,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283624,4.00341,7.795215,9.899636667,6.101564167,21.1802,11.265864,10.6,1.612285,8.476295
LOC283663,0.08656785,0.161514475,0.108240833,0.117526167,0.1,0.1688708,0.2,0.1643015,0.0917515
LOC283683,0.2718385,0.60309875,0.103261833,0.217071833,3.73098,0.8877542,0.3,0.69917,1.6320375
LOC283688,0.1,0.1,0.1,0.103311417,0.1,0.1,0.1,0.1,0.1
LOC283692,0.1,0.257783,0.092674033,0.113091667,0.1,0.1453502,0.1,0.1,0.099834125
LOC283693,0.082554725,0.1001755,0.1060915,0.186158583,0.1,0.1,0.1,0.1,0.083138025
LOC283710,0.1,0.0970448,0.1,0.1,0.1,0.1,0.1,0.107236,0.08667735
LOC283731,0.1,0.1,1.222986667,0.103185667,0.19442,0.1,0.1,0.1,0.16883485
LOC283738,0.0909472,0.200078625,0.1,0.154612583,0.1,0.1,0.1,0.1,0.0588205
LOC283761,0.67053375,0.45913425,5.616193333,0.205148417,0.1,0.4056002,0.1,0.1,0.443152
LOC283788,3.9893375,2.10489,1.889638333,3.305280667,3.44287,1.2682738,1.1,1.0458045,3.3912525
LOC283856,0.1690475,0.3841165,0.291875117,0.423595667,0.278313,0.2440684,0.1,0.1,0.24492575
LOC283867,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283888,0.07086545,0.1169722,0.1413575,0.106964167,0.1,0.1208684,0.1,0.1,0.10276965
LOC283914,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC283922,0.82113025,1.8644475,1.921095,2.063341,1.68611,0.7526242,0.9,0.698703,0.5261315
LOC284009,0.106176,0.1,1.614298667,0.1,0.1,0.1,0.1,0.1,0.1
LOC284023,0.895071,0.94000175,0.228491833,0.918575833,0.6926,0.5238294,0.7,1.0374845,0.1152125
LOC284080,0.060079975,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.083434125
LOC284100,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC284215,0.1,0.280834,2.520966667,0.25566425,2.20345,0.150375,0.1,0.1,2.31071
LOC284260,0.0965349,0.1,0.134484,0.102855167,0.143222,0.100446,0.1,0.1088675,0.109647625
LOC284276,0.1673925,0.1,0.0954411,0.1,0.1,0.1,0.1,0.1,0.1
LOC284294,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC284344,0.082618925,0.08629715,0.1,0.1,0.1,0.1,0.1,0.1,0.134180525
LOC284379,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC284385,1.0555195,1.0100655,1.921098333,1.001649833,1.27297,1.0611914,0.4,1.009544,0.518651
LOC284395,0.1,0.201439825,0.111007167,0.101261167,0.28965,0.2641654,0.1,0.388766,0.46926875
LOC284408,0.177591,0.3809685,1.106153333,0.1,2.15732,0.1681252,0.3,0.158907,0.3006585
LOC284412,0.068650425,0.157544675,0.370941833,0.21098975,0.322186,0.1194694,0.1,0.1,0.15399115
LOC284440,0.0975234,0.127031225,0.08713025,0.134234417,0.106044,0.115496,0.1,0.1,0.08124985
LOC284454,1.42037325,2.10961975,4.17429,0.55166025,0.1,1.0508218,16.4,1.3074615,0.0925198
LOC284551,0.08410685,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC284576,0.0794827,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC284578,0.169391125,0.3396825,0.1,0.101357583,0.851526,0.4699856,0.1,0.2321865,0.9211245
LOC284581,0.24417975,0.5476425,1.1727603,1.704437583,1.72909,0.5693088,1.0,0.2563685,1.095210125
LOC284632,0.086958525,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0822972
LOC284648,0.4679615,0.437333,0.5336427,0.37287375,0.1,0.1441488,0.6,0.7133,0.1
LOC284661,0.1,0.0847429,0.1,0.1,0.1,0.1,0.1,0.1,0.08141825
LOC284688,0.08259885,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC284751,0.22335325,0.17163775,0.1,0.307986833,0.1,0.1,0.2,0.1264915,0.084460975
LOC284757,0.1,0.1,0.1,0.102545667,0.125179,0.1,0.2,0.1,0.06938525
LOC284788,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC284798,0.083724425,0.1,0.1,0.1,0.30656,0.1,0.1,0.1048665,0.064007875
LOC284801,0.269856,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC284837,0.07491045,0.113508,0.63754,0.101970583,0.1,0.1,0.1,0.1,0.047574175
LOC284865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC284889,0.0953345,0.1030745,0.1,0.1,0.1,0.1,0.1,0.1,0.063027175
LOC284933,0.1,0.15147035,0.1,0.112290583,0.1,0.1,0.1,0.1,0.08475495
LOC284950,0.15455175,0.590848,0.228223333,0.128697583,0.157866,0.1370594,0.4,0.1152715,0.0869751
LOC284998,0.9087985,0.59987025,2.139091833,1.7631965,0.720157,0.2567038,0.1,0.1136645,0.1853791
LOC285000,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC285033,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC285074,3.24826,2.5104745,3.75809,2.315691667,4.55874,2.447878,3.2,1.0995605,1.0634435
LOC285084,0.061132475,0.1,0.1,0.1,0.235655,0.1,0.1,0.1,0.088487125
LOC285103,0.1,0.1,0.134879667,0.1,0.1,0.1,0.1,0.1,0.1
LOC285205,0.078319575,0.1411995,0.620725,0.12970625,0.1,0.1,0.1,0.1,0.09122785
LOC285326,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC285359,1.06805,2.8511875,0.205358,2.21844,1.20115,2.10619,2.0,1.5709405,1.4716065
LOC285370,0.1152903,0.09452525,0.384737333,0.195591667,0.1,0.106716,0.1,0.1,0.1
LOC285375,0.1,0.12219525,0.1,0.103122917,0.29599,0.1,0.1,0.1,0.1
LOC285401,0.1,0.1,0.1,0.132463167,0.1,0.1,0.1,0.1,0.1
LOC285419,0.1073985,0.12728625,0.1,0.15338375,0.1,0.2254666,0.5,0.1,0.18459125
LOC285441,0.9253482,0.222018825,0.1,1.841086083,0.371417,0.1110636,0.1,0.1,0.389125
LOC285456,0.0788464,0.142992575,0.378313833,0.28329075,0.192413,0.1526526,0.1,0.128852,0.0730537
LOC285484,0.11109875,0.16566775,0.1,0.15918125,0.903128,0.11193,0.1,0.1,0.098353375
LOC285501,0.1028795,0.096991525,0.1,0.100879917,0.1,0.1134232,0.1,0.1,0.1
LOC285540,0.409496,0.189865625,0.729715,0.699704917,0.762925,0.311276,0.2,0.1662215,0.24195075
LOC285547,0.1,0.1,0.091915883,0.1,0.1,0.1,0.1,0.1,0.1
LOC285548,0.07102615,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.082748675
LOC285577,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC285593,0.2594315,0.108026275,0.1,0.200358917,0.958681,0.1,0.1,0.1,0.105014175
LOC285626,0.1,0.0959425,0.095310233,0.1,0.1,0.1217752,0.3,0.1,0.1
LOC285627,0.1,0.1,0.0878865,0.1,0.1,0.1130906,0.3,0.1,0.0567676
LOC285629,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC285692,0.1,0.1,0.1,0.1,0.1,0.115061,0.1,0.1,0.06315805
LOC285696,0.089846275,0.13454685,0.511239833,0.1,0.368105,0.1239372,0.1,0.1,0.30952225
LOC285740,0.1,0.1584995,0.1640595,0.101757917,0.1,0.107912,0.2,0.1,0.1
LOC285758,3.756335,0.8951145,0.6338205,0.26480175,0.270376,0.677055,8.8,0.1,0.721174
LOC285762,0.07853755,0.08057665,0.1,0.134152083,0.140297,0.1153262,0.2,0.1,0.34645975
LOC285768,0.086389075,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0854395
LOC285796,0.092951475,0.359483,0.087595633,0.1,0.1,0.2858992,0.1,0.1,0.059754625
LOC285819,0.2119145,0.1,0.1,0.138185,0.1,0.1,0.1,0.1,0.11587235
LOC285847,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LOC285878,0.082404825,0.0771962,0.1,0.1,4.05496,0.1238886,0.1,0.1,2.990885
LOC285889,0.116688,0.22328725,0.116313,0.131144333,0.276062,0.1679472,0.1,0.1,0.0607474
LOC285954,0.087653325,1.49984,0.1,0.127842833,6.89843,0.9824998,2.0,0.1460415,1.6743475
LOC285965,0.107011025,0.082565575,0.090163167,0.1,0.1,0.1,0.1,0.1,0.105789925
